ligand_id,system,best_affinity_kcal_mol,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,pose_file
6.2,40chol,-6.011,2.423,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\6.2_40chol_out.pdbqt
7.1,40chol,-5.684,2.929,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\7.1_40chol_out.pdbqt
7.2,40chol,-5.624,2.491,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\7.2_40chol_out.pdbqt
7.3,40chol,-5.427,2.790,1,TYR13_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\7.3_40chol_out.pdbqt
7.4,40chol,-5.463,2.270,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\7.4_40chol_out.pdbqt
8.1,40chol,-5.857,2.899,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\40chol\8.1_40chol_out.pdbqt
8.2,40chol,-5.742,2.909,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\8.2_40chol_out.pdbqt
8.3,40chol,-5.486,2.601,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\8.3_40chol_out.pdbqt
8.4,40chol,-5.894,1.884,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\8.4_40chol_out.pdbqt
9.1,40chol,-5.486,2.716,1,TYR13_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\40chol\9.1_40chol_out.pdbqt
9.2,40chol,-5.53,2.937,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\9.2_40chol_out.pdbqt
