group,ref_role,ligand_id,system,mode,affinity,affinity_kcal_mol,mode1_affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_A,min_distance_to_key_residues_A,contacts_4A,contacts_4A_detail,n_contacted_key_residues_4A,contacted_key_residues_4A,contacts_6A,contacts_6A_detail,n_near_key_residues_6A,near_key_residues_6A,chain_contacts,chain_near_6A,n_contacted_chains_4A,n_near_chains_6A,anchor_ref_panel,comparator_ref_panel,anchor_ref_median_affinity,comparator_ref_median_affinity,affinity_points_25,keyres_points_30,interface_points_20,mode_reliability_points_10,system_score,system_score_85,interface_flag,key_contact_flag,pose_file
candidate,candidate,15.1,20chol,5,-4.792,-4.792,-5.109,13.345,14.966,2.120,2.12,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,10.21,30.00,20.00,7.00,67.21,67.21,1,1,C:\TRKB_WP2\docking\results_batch\20chol\15.1_20chol_out.pdbqt
candidate,candidate,15.2,20chol,4,-4.408,-4.408,-4.909,13.53,15.542,2.169,2.169,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,0.00,28.00,20.00,6.00,54.00,54.00,1,1,C:\TRKB_WP2\docking\results_batch\20chol\15.2_20chol_out.pdbqt
candidate,candidate,16.1,20chol,10,-4.591,-4.591,-5.262,13.702,14.732,1.807,1.807,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,2.48,30.00,20.00,4.00,56.48,56.48,1,1,C:\TRKB_WP2\docking\results_batch\20chol\16.1_20chol_out.pdbqt
candidate,candidate,16.2,20chol,4,-4.654,-4.654,-5.033,15.534,17.136,2.629,2.629,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,4.91,29.00,20.00,7.00,60.91,60.91,1,1,C:\TRKB_WP2\docking\results_batch\20chol\16.2_20chol_out.pdbqt
candidate,candidate,16.3,20chol,7,-4.94,-4.94,-5.637,13.03,14.861,2.456,2.456,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,15.91,24.50,20.00,5.00,65.41,65.41,1,1,C:\TRKB_WP2\docking\results_batch\20chol\16.3_20chol_out.pdbqt
candidate,candidate,16.4,20chol,4,-5.103,-5.103,-5.36,13.027,14.923,2.327,2.327,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,22.18,26.50,20.00,7.00,75.68,75.68,1,1,C:\TRKB_WP2\docking\results_batch\20chol\16.4_20chol_out.pdbqt
candidate,candidate,17.1,20chol,9,-4.998,-4.998,-5.665,13.291,15.019,2.163,2.163,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,18.14,30.00,20.00,4.00,72.14,72.14,1,1,C:\TRKB_WP2\docking\results_batch\20chol\17.1_20chol_out.pdbqt
candidate,candidate,17.2,20chol,10,-4.983,-4.983,-5.382,16.669,18.381,2.282,2.282,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,17.56,30.00,20.00,5.00,72.56,72.56,1,1,C:\TRKB_WP2\docking\results_batch\20chol\17.2_20chol_out.pdbqt
candidate,candidate,17.3,20chol,8,-5.239,-5.239,-5.696,4.434,7.065,2.462,2.462,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,26.50,20.00,5.00,76.50,76.50,1,1,C:\TRKB_WP2\docking\results_batch\20chol\17.3_20chol_out.pdbqt
candidate,candidate,17.4,20chol,9,-5.01,-5.01,-5.644,13.388,15.375,2.351,2.351,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,18.60,28.00,20.00,4.00,70.60,70.60,1,1,C:\TRKB_WP2\docking\results_batch\20chol\17.4_20chol_out.pdbqt
