group,ligand_id,system,mode,affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,19.1,20chol,5,-5.225,12.648,14.905,2.422,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.898,C:\TRKB_WP2\docking\results_batch\20chol\19.1_20chol_out.pdbqt
candidate,19.2,20chol,6,-5.213,14.164,15.992,2.035,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.203,C:\TRKB_WP2\docking\results_batch\20chol\19.2_20chol_out.pdbqt
candidate,2.1,20chol,10,-4.84,13.277,15.458,2.497,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,15.891,C:\TRKB_WP2\docking\results_batch\20chol\2.1_20chol_out.pdbqt
candidate,2.2,20chol,7,-5.034,3.458,5.892,2.368,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.924,C:\TRKB_WP2\docking\results_batch\20chol\2.2_20chol_out.pdbqt
candidate,2.3,20chol,1,-5.577,0.0,0.0,2.469,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.436,C:\TRKB_WP2\docking\results_batch\20chol\2.3_20chol_out.pdbqt
candidate,2.4,20chol,5,-5.157,3.092,5.617,2.445,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.024,C:\TRKB_WP2\docking\results_batch\20chol\2.4_20chol_out.pdbqt
candidate,20.1,20chol,2,-4.883,13.718,16.31,2.43,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.754,C:\TRKB_WP2\docking\results_batch\20chol\20.1_20chol_out.pdbqt
candidate,20.2,20chol,1,-5.027,0.0,0.0,2.484,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.882,C:\TRKB_WP2\docking\results_batch\20chol\20.2_20chol_out.pdbqt
candidate,20.3,20chol,6,-4.477,2.469,6.275,2.414,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.153,C:\TRKB_WP2\docking\results_batch\20chol\20.3_20chol_out.pdbqt
candidate,20.4,20chol,2,-4.817,2.414,3.676,2.277,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.734,C:\TRKB_WP2\docking\results_batch\20chol\20.4_20chol_out.pdbqt
