group,ligand_id,system,best_affinity_kcal_mol,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,2.4,20chol,-5.32,2.568,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.950,C:\TRKB_WP2\docking\results_batch\20chol\2.4_20chol_out.pdbqt
candidate,20.1,20chol,-5.047,2.558,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.280,C:\TRKB_WP2\docking\results_batch\20chol\20.1_20chol_out.pdbqt
candidate,20.2,20chol,-5.027,2.484,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.882,C:\TRKB_WP2\docking\results_batch\20chol\20.2_20chol_out.pdbqt
candidate,20.3,20chol,-5.031,2.498,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.882,C:\TRKB_WP2\docking\results_batch\20chol\20.3_20chol_out.pdbqt
candidate,20.4,20chol,-5.342,2.489,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.995,C:\TRKB_WP2\docking\results_batch\20chol\20.4_20chol_out.pdbqt
candidate,3.1,20chol,-5.307,1.926,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.129,C:\TRKB_WP2\docking\results_batch\20chol\3.1_20chol_out.pdbqt
candidate,3.2,20chol,-5.219,2.274,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.337,C:\TRKB_WP2\docking\results_batch\20chol\3.2_20chol_out.pdbqt
candidate,4.1,20chol,-5.714,2.574,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.742,C:\TRKB_WP2\docking\results_batch\20chol\4.1_20chol_out.pdbqt
candidate,4.2,20chol,-5.897,2.688,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.491,C:\TRKB_WP2\docking\results_batch\20chol\4.2_20chol_out.pdbqt
candidate,4.3,20chol,-5.602,2.543,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.639,C:\TRKB_WP2\docking\results_batch\20chol\4.3_20chol_out.pdbqt
candidate,4.4,20chol,-5.782,2.279,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.898,C:\TRKB_WP2\docking\results_batch\20chol\4.4_20chol_out.pdbqt
candidate,5.1,20chol,-5.549,1.679,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.445,C:\TRKB_WP2\docking\results_batch\20chol\5.1_20chol_out.pdbqt
candidate,5.2,20chol,-4.928,2.190,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,15.271,C:\TRKB_WP2\docking\results_batch\20chol\5.2_20chol_out.pdbqt
candidate,5.3,20chol,-5.3,2.434,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.970,C:\TRKB_WP2\docking\results_batch\20chol\5.3_20chol_out.pdbqt
candidate,5.4,20chol,-5.055,2.460,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.917,C:\TRKB_WP2\docking\results_batch\20chol\5.4_20chol_out.pdbqt
candidate,6.1,20chol,-5.645,2.629,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.456,C:\TRKB_WP2\docking\results_batch\20chol\6.1_20chol_out.pdbqt
candidate,6.2,20chol,-5.518,2.502,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.167,C:\TRKB_WP2\docking\results_batch\20chol\6.2_20chol_out.pdbqt
candidate,7.1,20chol,-5.299,2.490,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.952,C:\TRKB_WP2\docking\results_batch\20chol\7.1_20chol_out.pdbqt
candidate,7.2,20chol,-4.962,2.160,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.314,C:\TRKB_WP2\docking\results_batch\20chol\7.2_20chol_out.pdbqt
candidate,7.3,20chol,-5.386,2.545,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.022,C:\TRKB_WP2\docking\results_batch\20chol\7.3_20chol_out.pdbqt
candidate,7.4,20chol,-5.007,2.105,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.375,C:\TRKB_WP2\docking\results_batch\20chol\7.4_20chol_out.pdbqt
candidate,8.1,20chol,-5.782,2.385,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.466,C:\TRKB_WP2\docking\results_batch\20chol\8.1_20chol_out.pdbqt
candidate,8.2,20chol,-5.728,2.450,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.393,C:\TRKB_WP2\docking\results_batch\20chol\8.2_20chol_out.pdbqt
candidate,8.3,20chol,-5.492,2.482,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.547,C:\TRKB_WP2\docking\results_batch\20chol\8.3_20chol_out.pdbqt
candidate,8.4,20chol,-5.506,2.254,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.630,C:\TRKB_WP2\docking\results_batch\20chol\8.4_20chol_out.pdbqt
candidate,9.1,20chol,-5.528,1.830,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.379,C:\TRKB_WP2\docking\results_batch\20chol\9.1_20chol_out.pdbqt
candidate,9.2,20chol,-5.423,2.499,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.073,C:\TRKB_WP2\docking\results_batch\20chol\9.2_20chol_out.pdbqt
candidate,1.1,40chol,-5.249,2.950,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.364,C:\TRKB_WP2\docking\results_batch\40chol\1.1_40chol_out.pdbqt
candidate,1.2,40chol,-5.264,2.648,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.470,C:\TRKB_WP2\docking\results_batch\40chol\1.2_40chol_out.pdbqt
