group,ligand_id,system,mode,affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,10.3,20chol,3,-5.063,3.102,4.523,2.681,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.259,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,10.3,20chol,4,-5.021,13.037,14.98,2.657,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.824,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,10.3,20chol,5,-4.968,1.51,2.316,1.976,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.775,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,10.3,20chol,6,-4.962,2.003,5.058,2.542,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.599,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,10.3,20chol,7,-4.942,2.624,5.027,2.534,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.582,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,10.3,20chol,8,-4.921,13.268,14.858,2.537,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.76,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,10.3,20chol,9,-4.875,13.963,16.05,2.333,2,SER20_chainA;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,14.375,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,10.3,20chol,10,-4.852,2.734,4.529,2.759,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.024,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,10.4,20chol,1,-5.315,0.0,0.0,2.369,1,TYR13_chainA,2,TYR13_chainA;VAL17_chainA,1,1,10.604,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,10.4,20chol,2,-5.078,14.877,16.261,1.525,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.62,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,10.4,20chol,3,-5.032,3.782,6.833,2.41,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.709,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,10.4,20chol,4,-5.032,3.47,6.109,2.494,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.084,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,10.4,20chol,5,-5.019,16.972,19.829,2.747,2,SER20_chainA;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,14.395,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,10.4,20chol,6,-4.858,6.301,8.429,1.512,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.804,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,10.4,20chol,7,-4.77,14.89,16.228,2.408,2,TYR13_chainB;VAL17_chainB,2,TYR13_chainB;VAL17_chainB,1,1,10.848,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,10.4,20chol,8,-4.768,16.496,19.313,2.584,2,SER20_chainA;VAL17_chainB,3,SER20_chainA;SER20_chainB;VAL17_chainB,2,2,13.593,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,10.4,20chol,9,-4.707,4.334,6.517,2.357,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.0,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,10.4,20chol,10,-4.696,3.795,6.746,2.359,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,12.988,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,11.1,20chol,1,-5.421,0.0,0.0,2.439,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.289,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.1,20chol,2,-5.288,2.258,6.625,2.412,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.164,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.1,20chol,3,-5.285,2.623,6.778,2.451,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.95,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.1,20chol,4,-5.16,2.465,5.415,2.465,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.021,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.1,20chol,5,-5.151,3.704,6.37,2.487,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.805,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.1,20chol,6,-5.131,3.61,6.387,2.475,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.788,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.1,20chol,7,-5.02,4.263,6.689,2.323,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.123,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.1,20chol,8,-4.898,2.902,6.553,2.486,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.152,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.1,20chol,9,-4.871,13.917,16.125,1.956,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,2,2,14.684,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.1,20chol,10,-4.839,12.562,14.574,2.664,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.64,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.2,20chol,1,-5.608,0.0,0.0,1.753,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,14.082,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.2,20chol,2,-5.542,3.768,7.832,2.44,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.61,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.2,20chol,3,-5.327,2.448,4.351,2.436,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.996,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.2,20chol,4,-5.125,14.005,15.145,1.76,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.197,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.2,20chol,5,-4.887,2.328,5.521,2.342,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.184,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.2,20chol,6,-4.885,7.297,10.919,2.305,2,SER20_chainB;VAL17_chainA,3,SER20_chainA;SER20_chainB;VAL17_chainA,2,2,13.793,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.2,20chol,7,-4.846,2.379,5.607,2.465,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.107,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.2,20chol,8,-4.782,5.66,7.7,2.539,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA,2,2,15.02,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.2,20chol,9,-4.75,13.615,16.055,2.374,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.638,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.2,20chol,10,-4.746,2.032,5.37,2.367,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.436,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.3,20chol,1,-5.257,0.0,0.0,2.434,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.927,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.3,20chol,2,-5.1,2.398,6.247,2.433,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.97,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.3,20chol,3,-4.996,3.061,6.217,2.776,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.563,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.3,20chol,4,-4.979,2.509,4.639,2.493,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.831,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.3,20chol,5,-4.939,13.937,15.756,2.116,2,TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,1,2,12.704,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.3,20chol,6,-4.739,2.388,4.501,2.396,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.42,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.3,20chol,7,-4.69,13.53,15.126,2.587,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.514,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.3,20chol,8,-4.571,14.636,17.543,2.36,2,SER20_chainA;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,14.063,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.3,20chol,9,-4.44,13.173,14.386,2.249,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,14.765,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.3,20chol,10,-4.408,13.497,15.756,2.27,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,14.727,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.4,20chol,1,-5.351,0.0,0.0,2.133,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.311,C:\TRKB_WP2\docking\results_batch\20chol\11.4_20chol_out.pdbqt
