label,system,receptor_pdb,ligand_pdbqt,ligand_pdb,group,ligand_id,mode,affinity_kcal_mol,composite_score
candidate_15.1_20chol_mode5,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_15.1_20chol_mode5.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_15.1_20chol_mode5.pdb,candidate,15.1,5,-4.792,16.556
candidate_6.1_20chol_mode1,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_6.1_20chol_mode1.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_6.1_20chol_mode1.pdb,candidate,6.1,1,-5.645,16.456
candidate_16.1_20chol_mode10,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_16.1_20chol_mode10.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_16.1_20chol_mode10.pdb,candidate,16.1,10,-4.591,16.449
candidate_18.2_40chol_mode7,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_18.2_40chol_mode7.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_18.2_40chol_mode7.pdb,candidate,18.2,7,-5.716,16.804
candidate_17.1_40chol_mode4,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_17.1_40chol_mode4.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_17.1_40chol_mode4.pdb,candidate,17.1,4,-5.984,16.731
candidate_17.2_40chol_mode2,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_17.2_40chol_mode2.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_17.2_40chol_mode2.pdb,candidate,17.2,2,-5.785,16.605
candidate_8.1_40chol_mode1,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_8.1_40chol_mode1.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_8.1_40chol_mode1.pdb,candidate,8.1,1,-5.857,16.587
candidate_3.2_40chol_mode1,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_3.2_40chol_mode1.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_3.2_40chol_mode1.pdb,candidate,3.2,1,-5.607,16.531
candidate_19.1_40chol_mode8,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_19.1_40chol_mode8.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_19.1_40chol_mode8.pdb,candidate,19.1,8,-5.461,16.481
candidate_14.2_40chol_mode3,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_14.2_40chol_mode3.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_14.2_40chol_mode3.pdb,candidate,14.2,3,-5.643,16.466
candidate_2.2_40chol_mode2,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_2.2_40chol_mode2.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_2.2_40chol_mode2.pdb,candidate,2.2,2,-5.547,16.398
candidate_5.2_40chol_mode2,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_5.2_40chol_mode2.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_5.2_40chol_mode2.pdb,candidate,5.2,2,-5.454,16.306
candidate_4.3_40chol_mode2,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_4.3_40chol_mode2.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_4.3_40chol_mode2.pdb,candidate,4.3,2,-5.556,16.275
candidate_13.3_40chol_mode3,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_13.3_40chol_mode3.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_13.3_40chol_mode3.pdb,candidate,13.3,3,-5.398,16.239
candidate_6.2_40chol_mode4,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_6.2_40chol_mode4.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_6.2_40chol_mode4.pdb,candidate,6.2,4,-5.573,16.236
